,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG
0,43.66666667,0.0589,0.00174,0.00112,0.0593,0.971,0.345,0,1.69E-06,0,0,0,1,0
1,103,0.0558,0.00467,0.0863,0.0452,0.946,0.845,0.34,1.03E-30,2.05E-05,0,0,1,1
2,16.63333333,0.0691,0.00989,0.042,0.0392,0.538,0.074,0,2.28E-07,0,0,0,1,0
3,38,0.0762,0.00694,0.0524,0.0263,1.31,0.718,0.185,1.21E-14,2.52E-05,0,0,1,1
4,75.66666667,0.0219,0.00151,0.0684,0.0508,1.29,0.878,0.308,5.37E-39,2.20E-05,0,0,1,1
5,99.66666667,0.0814,0.00356,0.0259,0.0798,0.71,0.705,0,9.41E-08,0,0,0,1,0
6,61.33333333,0.0517,0.00421,0.0878,0.0445,1.3,0.804,0.23,1.64E-28,3.46E-05,0,0,1,1
7,26.43333333,0.064,0.00583,0.0331,0.0496,0.993,0.078,0,2.95E-07,0,0,0,1,0
8,21.86666667,0.0837,0.000772,0.0848,0.0633,0.904,0.369,0,3.35E-06,0,0,0,1,0
9,35.66666667,0.0991,0.000129,0.0808,0.0665,0.801,0.824,0.496,5.88E-09,3.08E-05,0.021,3.01E-06,2,1
10,119,0.025,0.00213,0.0777,0.0298,0.99,0.554,0.431,9.99E-10,3.33E-07,0.394,9.43E-10,2,1
11,16.26666667,0.0519,0.00618,0.0912,0.0288,1.22,0.693,0,9.20E-16,0,0,0,1,0
12,33.23333333,0.0669,0.00632,0.052,0.0324,1.27,0.718,0.131,1.99E-14,4.35E-05,0,0,1,1
13,76.33333333,0.0343,0.00906,0.0231,0.0559,0.587,0.681,0,2.43E-09,0,0,0,1,0
14,117.3333333,0.0404,0.00181,0.0648,0.0718,0.88,0.935,0.345,4.91E-25,3.60E-05,0,0,1,1
15,103.6666667,0.0427,0.00746,0.0595,0.048,1.27,0.783,0.234,1.47E-18,3.75E-05,0,0,1,1
16,88.66666667,0.0685,0.00367,0.0633,0.0257,1.22,0.554,0.336,4.13E-09,9.20E-07,0.271,4.49E-09,2,1
17,103.6666667,0.0856,0.00495,0.0136,0.0567,1.26,0.722,0.23,3.57E-10,4.10E-05,0,0,1,1
18,64.66666667,0.0826,0.00452,0.0727,0.0511,0.603,0.796,0.197,1.05E-20,4.28E-05,0,0,1,1
19,113.3333333,0.0884,0.00622,0.0714,0.0303,0.589,0.824,0.349,4.05E-20,4.03E-06,0,0,1,1
20,117,0.0743,0.00127,0.0994,0.0461,1.1,0.947,0.488,3.80E-25,4.47E-06,0,0,1,1
21,68,0.0121,0.00106,0.0368,0.0252,1.1,0.431,0.34,1.41E-09,1.35E-07,0.353,7.20E-10,2,1
22,42,0.0347,0.000376,0.0883,0.0635,1.46,0.87,0.316,1.02E-56,3.43E-05,0,0,1,1
23,77.66666667,0.0338,0.000607,0.0316,0.0369,0.784,0.554,0.34,6.77E-09,1.82E-06,0.275,6.30E-09,2,1
24,86.33333333,0.0999,0.000863,0.0245,0.0978,1.04,0.664,0,2.47E-06,0,0,0,1,0
25,69.33333333,0.0166,0.00842,0.0504,0.0632,0.598,0.111,0,9.77E-08,0,0,0,1,0
26,15.33333333,0.0525,0.00836,0.0351,0.0343,0.631,0.632,0,8.70E-09,0,0,0,1,0
27,89.66666667,0.0602,0.0011,0.0382,0.0734,1.05,0.804,0.316,1.90E-14,3.92E-05,0.025,1.75E-06,2,1
28,62.66666667,0.0889,0.00264,0.0392,0.0395,1.41,0.808,0.271,2.19E-20,1.90E-05,0,0,1,1
29,50,0.0523,0.00663,0.0273,0.0447,0.669,0.71,0,5.57E-11,0,0,0,1,0
30,112,0.0665,0.00659,0.0443,0.0669,1.49,0.746,0,9.31E-08,0,0,0,1,0
31,98,0.0249,0.00768,0.092,0.0655,1.01,0.73,0,7.19E-09,0,0,0,1,0
32,37.66666667,0.0723,0.00502,0.0227,0.03,0.628,0.718,0.185,7.55E-12,2.96E-05,0,0,1,1
33,91,0.094,0.00227,0.0759,0.0345,1.28,0.865,0.369,1.17E-09,3.54E-06,0,0,1,1
34,110.3333333,0.0631,0.00949,0.0311,0.0672,1.36,0.685,0,2.18E-08,0,0,0,1,0
35,71.66666667,0.0407,0.0012,0.0589,0.0567,0.557,0.886,0.32,9.30E-30,2.73E-05,0,0,1,1
36,87.33333333,0.079,0.00126,0.0161,0.0595,1.14,0.829,0.324,7.22E-14,2.75E-05,0,0,1,1
37,118,0.0634,0.0086,0.0493,0.0618,0.62,0.677,0,2.02E-08,0,0,0,1,0
38,73.33333333,0.0875,0.001,0.0708,0.0936,0.769,0.669,0,3.06E-06,0,0,0,1,0
39,16.36666667,0.0973,0.00651,0.0293,0.0447,1.03,0.057,0,5.88E-07,0,0,0,1,0
40,74.66666667,0.0829,0.00975,0.0526,0.066,1.45,0.115,0,4.80E-07,0,0,0,1,0
41,98,0.0305,0.00557,0.0976,0.0251,0.823,0.833,0.336,2.42E-10,1.27E-06,0,0,1,1
42,36.66666667,0.0568,0.00858,0.0103,0.0575,0.731,0.066,0,1.71E-06,0,0,0,1,0
43,74.33333333,0.0614,0.00848,0.0463,0.0547,0.977,0.71,0,8.61E-09,0,0,0,1,0
44,83,0.0167,0.00851,0.0995,0.0379,0.851,0.771,0.234,6.91E-23,3.12E-05,0,0,1,1
45,106,0.0303,0.00433,0.0179,0.0835,1.08,0.103,0,2.71E-07,0,0,0,1,0
46,44.33333333,0.0539,0.00363,0.0569,0.0478,1.32,0.73,0,8.46E-18,0,0.021,1.85E-06,2,0
47,75.66666667,0.0224,0.00698,0.0269,0.0695,0.681,0.103,0,1.43E-07,0,0,0,1,0
48,39.33333333,0.0408,0.00516,0.0529,0.0457,0.618,0.73,0,5.01E-15,0,0,0,1,0
49,95.33333333,0.0922,0.00541,0.0955,0.059,1.5,0.833,0.304,3.08E-24,3.69E-05,0,0,1,1
50,57.33333333,0.0794,0.00406,0.0513,0.0508,1.45,0.722,0.156,1.01E-16,4.49E-05,0,0,1,1
51,59.33333333,0.0961,0.00335,0.0709,0.0599,0.539,0.722,0,1.37E-09,0,0,0,1,0
52,81.66666667,0.0949,0.00668,0.0969,0.0637,1.37,0.759,0,6.97E-08,0,0,0,1,0
53,87.66666667,0.0278,0.00519,0.0644,0.0512,1.04,0.8,0.213,3.38E-23,4.05E-05,0,0,1,1
54,118,0.0908,0.00153,0.0114,0.0658,0.695,0.886,0.349,1.24E-11,2.86E-05,0,0,1,1
55,12.7,0.0306,0.00493,0.041,0.036,0.878,0.632,0,1.13E-08,0,0,0,1,0
56,117.3333333,0.0708,0.000632,0.059,0.0892,0.815,0.861,0.525,1.58E-26,3.20E-05,0.07,1.43E-06,2,1
57,76.66666667,0.0307,0.00173,0.00409,0.0742,1.21,0.669,0,5.21E-07,0,0,0,1,0
58,92,0.0834,0.00585,0.0464,0.0397,1.02,0.792,0.287,7.39E-18,2.17E-05,0,0,1,1
59,85,0.0495,0.00528,0.00261,0.0284,0.57,0.496,0.295,5.61E-09,4.84E-06,0,0,1,1
60,39.66666667,0.0627,0.00334,0.0336,0.0398,1.4,0.751,0.172,1.06E-15,3.97E-05,0,0,1,1
61,107.6666667,0.0727,0.00913,0.0962,0.0639,1.47,0.751,0,2.84E-08,0,0,0,1,0
62,57.66666667,0.016,0.00928,0.0634,0.0278,0.515,0.73,0.217,9.16E-17,2.23E-05,0,0,1,1
63,52,0.0514,0.00802,0.0373,0.0278,1.5,0.718,0.209,7.04E-13,2.22E-05,0,0,1,1
64,78.33333333,0.0318,0.0015,0.0306,0.0745,1.27,0.734,0,1.84E-09,0,0,0,1,0
65,47.33333333,0.0574,0.00809,0.0877,0.0539,0.858,0.677,0,3.49E-08,0,0,0,1,0
66,63.33333333,0.0964,0.000294,0.0508,0.0477,0.534,0.874,0.349,7.59E-09,6.95E-06,0,0,1,1
67,88,0.0437,0.00679,0.0519,0.0306,1.24,0.775,0.287,5.39E-18,1.01E-05,0,0,1,1
68,54.33333333,0.093,0.00501,0.0413,0.0253,1.43,0.742,0.246,4.09E-15,7.16E-06,0,0,1,1
69,92.66666667,0.0561,0.00193,0.0517,0.0803,0.915,0.874,0,9.08E-08,0,0,0,1,0
70,90.66666667,0.0241,0.0099,0.00929,0.065,1.09,0.131,0,2.77E-07,0,0,0,1,0
71,64.33333333,0.0268,0.00307,0.0374,0.0305,1.37,0.783,0.271,1.71E-18,7.32E-06,0,0,1,1
72,114,0.0663,0.00178,0.0718,0.0958,1.03,0.775,0,9.38E-07,0,0,0,1,0
73,109.3333333,0.0225,0.00778,0.0397,0.0258,1.34,0.775,0.328,4.79E-15,2.39E-06,0,0,1,1
74,14.2,0.0776,0.00382,0.0963,0.0315,1.38,0.705,0,8.20E-20,0,0,0,1,0
75,82,0.0272,0.00999,0.0392,0.042,0.586,0.734,0.164,2.06E-12,4.44E-05,0,0,1,1
