Sample#,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG,
0,950,0.000128,0.0565,0.00524,0.0756,0.087,0.541,0,0,0,0,0,0,0,0
1,951,0.000109,0.0352,0.00123,0.0271,0.088,0.595,0,0,0,0,0,0,0,0
2,952,0.000226,0.0915,0.00391,0.00137,0.0997,0.662,0,0,0,0,0,0,0,0
3,953,0.000233,0.0338,0.000607,0.0316,0.0369,0.784,0.554,0.34,6.77E-09,1.82E-06,0.275,6.30E-09,2,1
4,954,0.000174,0.085,0.00411,0.0535,0.0795,0.739,0.037,0,3.57E-06,0,0,0,1,0
5,955,0.000288,0.0866,0.00349,0.0635,0.0641,0.743,0.779,0.295,1.82E-18,3.93E-05,0,0,1,1
6,956,0.000166,0.0679,0.00825,0.0852,0.09,1.05,0,0,0,0,0,0,0,0
7,957,0.000343,0.0717,0.00871,0.08,0.027,0.901,0.804,0.336,1.37E-17,3.44E-06,0,0,1,1
8,958,0.000142,0.0574,0.00809,0.0877,0.0539,0.858,0.677,0,3.49E-08,0,0,0,1,0
9,959,0.000241,0.0414,0.00957,0.00401,0.035,0.875,0.66,0.23,6.02E-08,2.95E-05,0,0,1,1
10,960,0.000185,0.0313,0.00789,0.0146,0.0538,1.3,0.632,0,7.11E-08,0,0,0,1,0
11,961,0.000169,0.0143,0.00342,0.0477,0.0612,1.07,0.738,0,2.86E-12,0,0,0,1,0
12,962,0.000223,0.0616,0.00582,0.0322,0.057,1.07,0.664,0,1.48E-08,0,0,0,1,0
13,963,0.00025,0.0907,0.00742,0.0319,0.0707,0.745,0.119,0,3.84E-07,0,0,0,1,0
14,964,0.000304,0.0688,0.00855,0.0175,0.059,1.16,0.697,0,3.37E-09,0,0,0,1,0
15,965,0.000231,0.0808,0.00103,0.0447,0.0753,1.07,0.8,0.295,1.20E-09,4.17E-05,0,0,1,1
16,966,0.000298,0.0799,0.00331,0.0394,0.0701,1.38,0.792,0,6.44E-08,0,0,0,1,0
17,967,6.17E-05,0.0635,0.00162,0.0509,0.0471,0.955,0.701,0,2.70E-11,0,0,0,1,0
18,968,0.000322,0.0444,0.00681,0.0694,0.0762,1.42,0.107,0,4.64E-07,0,0,0,1,0
19,969,0.000244,0.0858,0.0024,0.0284,0.0436,0.836,0.824,0.308,1.78E-18,1.68E-05,0,0,1,1
20,970,2.95E-05,0.0382,0.00468,0.00682,0.0534,1.38,0,0,0,0,0,0,0,0
